Transaction ID,items
Trans1,"Desktop, Printer, Flash Drive, Microsoft Office, Speakers, Anti-Virus"
Trans2,"Laptop, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus"
Trans3,"Laptop, Printer, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, External Hard-Drive"
Trans4,"Laptop, Printer, Flash Drive, Anti-Virus, External Hard-Drive, Laptop Case"
Trans5,"Laptop, Flash Drive, Laptop Case, Anti-Virus"
Trans6,"Laptop, Printer, Flash Drive, Microsoft Office"
Trans7,"Desktop, Printer, Flash Drive, Microsoft Office"
Trans8,"Laptop, External Hard-Drive, Anti-Virus"
Trans9,"Desktop, Printer, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus, Speakers, External Hard-Drive"
Trans10,"Digital Camera , Laptop, Desktop, Printer, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus, External Hard-Drive, Speakers"
Trans11,"Laptop, Desktop, Laptop Case, External Hard-Drive, Speakers, Anti-Virus"
Trans12,"Digital Camera , Laptop, Laptop Case, External Hard-Drive, Anti-Virus, Speakers"
Trans13,"Digital Camera , Speakers"
Trans14,"Digital Camera , Desktop, Printer, Flash Drive, Microsoft Office"
Trans15,"Printer, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, Speakers, External Hard-Drive"
Trans16,"Digital Camera, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, External Hard-Drive, Speakers"
Trans17,"Digital Camera , Laptop, Laptop Case"
Trans18,"Digital Camera , Laptop Case, Speakers"
Trans19,"Digital Camera , Laptop, Printer, Flash Drive, Microsoft Office, Speakers, Laptop Case, Anti-Virus"
Trans20,"Digital Camera , Laptop, Speakers, Anti-Virus, Laptop Case"
