Transaction ID,items
Trans1,"Running Shoes, Socks, Sweatshirts, Modern Pants"
Trans2,"Running Shoes, Socks, Sweatshirts"
Trans3,"Running Shoes, Socks, Sweatshirts, Modern Pants"
Trans4,"Running Shoes, Sweatshirts, Modern Pants"
Trans5,"Running Shoes, Socks, Sweatshirts, Modern Pants, Soccer Shoes"
Trans6,"Running Shoes, Socks, Sweatshirts"
Trans7,"Running Shoes, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans8,"Swimming Shirt, Socks, Sweatshirts"
Trans9,"Swimming Shirt, Rash Guard, Dry Fit V-Neck, Hoodies, Tech Pants"
Trans10,"Swimming Shirt, Rash Guard, Dry Fit V-Neck"
Trans11,"Swimming Shirt, Rash Guard, Dry Fit V-Neck"
Trans12,"Running Shoes, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoes, Rash Guard, Hoodies, Tech Pants, Dry Fit V-Neck"
Trans13,"Running Shoes, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoes, Rash Guard, Tech Pants, Dry Fit V-Neck, Hoodies"
Trans14,"Running Shoes, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Neck"
Trans15,"Running Shoes, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Dry Fit V-Neck, Rash Guard, Tech Pants"
Trans16,"Swimming Shirt, Soccer Shoes, Hoodies, Dry Fit V-Neck, Tech Pants, Rash Guard"
Trans17,"Running Shoes, Socks"
Trans18,"Socks, Sweatshirts, Modern Pants, Soccer Shoes, Hoodies, Rash Guard, Tech Pants, Dry Fit V-Neck"
Trans19,"Running Shoes, Swimming Shirt, Rash Guard"
Trans20,"Running Shoes, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoes, Hoodies, Tech Pants, Rash Guard, Dry Fit V-Neck"
